timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-01-24,143.3900,143.9200,140.4600,140.5600,139.0912,5579292,0.0000,1.0000
2020-01-23,144.2000,144.4097,142.1500,142.8700,141.3771,5654308,0.0000,1.0000
2020-01-22,143.3200,145.7900,142.5500,143.8900,142.3864,16464948,0.0000,1.0000
2020-01-21,137.8100,139.3500,137.6000,139.1700,137.7157,7130819,0.0000,1.0000
2020-01-17,136.5400,138.3300,136.1600,138.3100,136.8647,5622251,0.0000,1.0000
2020-01-16,137.3200,138.1900,137.0100,137.9800,136.5382,4319896,0.0000,1.0000
2020-01-15,136.0000,138.0550,135.7100,136.6200,135.1924,4045591,0.0000,1.0000
2020-01-14,136.2800,137.1390,135.5500,135.8200,134.4007,3680958,0.0000,1.0000
2020-01-13,135.4800,136.6400,135.0700,136.6000,135.1726,3162843,0.0000,1.0000
2020-01-10,137.0000,137.8700,136.3100,136.6900,135.2616,3255398,0.0000,1.0000
2020-01-09,135.7400,136.7900,135.3100,136.7400,135.3111,3730549,0.0000,1.0000
2020-01-08,134.5100,135.8600,133.9200,135.3100,133.8961,4345952,0.0000,1.0000
2020-01-07,133.6900,134.9600,133.4000,134.1900,132.7878,3267592,0.0000,1.0000
2020-01-06,133.4200,134.2400,133.2000,134.1000,132.6987,2421128,0.0000,1.0000
2020-01-03,133.5700,134.8600,133.5600,134.3400,132.9362,2373470,0.0000,1.0000
2020-01-02,135.0000,135.9200,134.7701,135.4200,134.0049,3148461,0.0000,1.0000
2019-12-31,132.5300,134.1200,132.4000,134.0400,132.6393,3777504,0.0000,1.0000
2019-12-30,135.2000,135.3000,132.5000,132.8100,131.4222,4118929,0.0000,1.0000
2019-12-27,135.0000,135.7500,134.8700,135.2700,133.8565,2752185,0.0000,1.0000
2019-12-26,134.9800,135.3055,134.6500,134.9100,133.5002,2129654,0.0000,1.0000
2019-12-24,135.6100,135.6200,134.6100,134.9800,133.5695,1202087,0.0000,1.0000
2019-12-23,135.7800,136.1500,135.0000,135.5500,134.1336,2803158,0.0000,1.0000
2019-12-20,135.7400,136.4200,134.9500,135.5900,134.1731,7111779,0.0000,1.0000
2019-12-19,134.4600,134.7250,134.1900,134.5600,133.1539,3866494,0.0000,1.0000
2019-12-18,134.5500,135.0000,134.1504,134.4100,133.0055,3101819,0.0000,1.0000
2019-12-17,134.2800,134.6900,133.4600,134.2200,132.8175,2907186,0.0000,1.0000
2019-12-16,134.9400,135.4500,133.8500,134.1300,132.7284,3049224,0.0000,1.0000
2019-12-13,134.7500,135.5000,134.0100,134.2100,132.8076,2534970,0.0000,1.0000
2019-12-12,133.7000,135.6604,133.6600,135.3200,133.9060,4824103,0.0000,1.0000
2019-12-11,134.1100,134.5100,133.6700,133.7600,132.3623,3698494,0.0000,1.0000
2019-12-10,133.9200,134.8400,133.5600,133.9100,132.5107,3478362,0.0000,1.0000
2019-12-09,133.3500,134.5900,133.2600,133.9200,132.5206,2968310,0.0000,1.0000
2019-12-06,132.7500,133.8900,132.7000,133.2200,131.8279,3437438,0.0000,1.0000
2019-12-05,132.9900,133.2400,131.6264,131.9100,130.5316,3595312,0.0000,1.0000
2019-12-04,132.8600,133.6800,131.9600,131.9900,130.6108,3530028,0.0000,1.0000
2019-12-03,132.0000,132.4400,130.6890,132.1200,130.7394,3708102,0.0000,1.0000
2019-12-02,134.4500,134.5000,132.4800,132.9100,131.5211,3066813,0.0000,1.0000
2019-11-29,133.6000,134.5200,133.0300,134.4500,133.0451,1825255,0.0000,1.0000
2019-11-27,135.3500,135.7100,133.6200,133.7700,132.3722,3280699,0.0000,1.0000
2019-11-26,136.1500,136.1500,134.7700,135.0900,133.6784,3806859,0.0000,1.0000
